Timestamp,EMG_Value
2024-12-18 20:56:41,198044
2024-12-18 20:56:42,199439
2024-12-18 20:56:42,197064
2024-12-18 20:56:42,191669
2024-12-18 20:56:43,190734
2024-12-18 20:56:43,191296
2024-12-18 20:56:43,191271
2024-12-18 20:56:43,192198
2024-12-18 20:56:43,197544
2024-12-18 20:56:43,200783
2024-12-18 20:56:43,200347
2024-12-18 20:56:44,194889
2024-12-18 20:56:44,191466
2024-12-18 20:56:44,191124
2024-12-18 20:56:45,191389
2024-12-18 20:56:45,189897
2024-12-18 20:56:46,193318
2024-12-18 20:56:46,198048
2024-12-18 20:56:46,200556
2024-12-18 20:56:47,199470
2024-12-18 20:56:47,193796
2024-12-18 20:56:47,191643
2024-12-18 20:56:47,191537
2024-12-18 20:56:47,191826
2024-12-18 20:56:47,191373
2024-12-18 20:56:47,196471
2024-12-18 20:56:47,199976
2024-12-18 20:56:47,200450
2024-12-18 20:56:47,196289
2024-12-18 20:56:47,192034
2024-12-18 20:56:47,192048
2024-12-18 20:56:47,193216
2024-12-18 20:56:47,192031
2024-12-18 20:56:47,197342
2024-12-18 20:56:47,201458
2024-12-18 20:56:47,202166
2024-12-18 20:56:47,198690
2024-12-18 20:56:47,195609
2024-12-18 20:56:47,192943
2024-12-18 20:56:47,192744
2024-12-18 20:56:47,193324
2024-12-18 20:56:47,193281
2024-12-18 20:56:47,199386
2024-12-18 20:56:47,203113
2024-12-18 20:56:47,203461
2024-12-18 20:56:47,199472
2024-12-18 20:56:47,194123
2024-12-18 20:56:47,193881
2024-12-18 20:56:47,194223
2024-12-18 20:56:47,192953
2024-12-18 20:56:47,197779
2024-12-18 20:56:47,202961
2024-12-18 20:56:47,204526
2024-12-18 20:56:47,201974
2024-12-18 20:56:47,196321
2024-12-18 20:56:47,195036
2024-12-18 20:56:47,195450
2024-12-18 20:56:47,195565
2024-12-18 20:56:47,193789
2024-12-18 20:56:47,199279
2024-12-18 20:56:47,203144
2024-12-18 20:56:47,204623
